"","PreFlop籠礟Ω计","把籔PreFlopΩ计","PreFlop籠礟瞯","PreFlop猔Ω计","Hole Cards笆计","Preflop猔瞯","Flop籠礟Ω计","把籔FlopΩ计","Flop籠礟瞯","FlopいReRaiseΩ计","FlopいMove玡Τ砆Bet┪RaiseΩ计","FlopいReRaise瞯","PreFlop Aggressor Bet in FlopΩ计","PreFlop AggressiveΩ计","C-Bet in Flop瞯"
"bigruboss69",16111,22274,0.723309688425968,4004,24189,0.165529786266485,922,3605,0.255755894590846,112,1987,0.0563663814796175,809,3370,0.240059347181009
"przemol",10637,15987,0.665353099393257,3397,17666,0.192290275104721,793,3129,0.253435602428891,102,1714,0.05950991831972,636,2829,0.224814422057264
"sergbest2005",21131,29144,0.725054899807851,5100,30602,0.16665577413241,779,4076,0.191118743866536,169,2216,0.0762635379061372,1339,4160,0.321875
"spadevalet",11137,15865,0.701985502678853,3177,16945,0.187488934789023,484,2426,0.199505358615004,140,1296,0.108024691358025,692,2626,0.263518659558264
"pomkaPWNZ",8018,12132,0.660896801846357,2370,12363,0.191701043436059,506,2322,0.217915590008613,69,1231,0.0560519902518278,649,1962,0.330784913353721
"ChikoKz740",10855,15749,0.689250111118166,2712,16126,0.168175617015999,491,2362,0.207874682472481,107,1317,0.0812452543659833,564,2245,0.251224944320713
"Donkey84Kong",8037,12225,0.657423312883436,2243,13145,0.170635222518068,648,2415,0.26832298136646,68,1342,0.0506706408345753,341,1929,0.176775531363401
"PerkeoX",7807,11401,0.684764494342602,2098,11954,0.175506106742513,460,1986,0.231621349446123,73,1116,0.0654121863799283,392,1719,0.22803955788249
"yanisarais",6598,9943,0.663582419792819,1937,10482,0.184792978439229,394,1872,0.210470085470085,81,1085,0.0746543778801843,422,1560,0.27051282051282
"daani.p23",7449,10072,0.739575059571088,1579,10928,0.14449121522694,367,1481,0.24780553679946,19,812,0.0233990147783251,253,1310,0.193129770992366
"pstnyas",8658,11954,0.724276392839217,1807,12393,0.145808117485677,361,1698,0.212603062426384,85,972,0.0874485596707819,403,1517,0.265655899802241
"stare-misto",7053,10675,0.660702576112412,1949,10973,0.177617789118746,467,1992,0.234437751004016,89,1172,0.075938566552901,470,1626,0.289052890528905
"One23drumm",5468,8290,0.659589867310012,1531,8272,0.185082205029014,266,1175,0.226382978723404,32,613,0.0522022838499184,212,1289,0.164468580294802
"Fabula_16",8312,11855,0.70113876001687,2154,12452,0.172984259556698,415,1911,0.21716378859236,99,1102,0.0898366606170599,528,1773,0.297800338409475
"Cendman",5149,7134,0.721754976170451,1036,7539,0.137418755803157,353,1247,0.283079390537289,48,693,0.0692640692640693,160,843,0.189798339264531
"Ayohla",6883,9976,0.68995589414595,1943,10579,0.183665752906702,397,1690,0.23491124260355,58,934,0.0620985010706638,447,1520,0.294078947368421
"rawmechanic",8713,11424,0.762692577030812,1756,12202,0.143910834289461,360,1426,0.252454417952314,36,833,0.0432172869147659,366,1487,0.246133154001345
"MaksCh1",5507,8080,0.681559405940594,1412,8227,0.17162999878449,336,1344,0.25,30,737,0.0407055630936228,274,1164,0.235395189003436
"Foccc",6112,8569,0.713268759481853,1434,8201,0.17485672478966,290,1300,0.223076923076923,44,714,0.061624649859944,372,1148,0.32404181184669
"Posaunengodi",5133,7000,0.733285714285714,1155,7501,0.153979469404079,183,1053,0.173789173789174,66,593,0.111298482293423,231,972,0.237654320987654
